,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,contact_me,past_booker
353,3.0,6,40.0,0.0,28,5,313.1333333333333,0,1,0
354,4.0,2,124.0,2.0,166,2,5.3,0,1,1
357,5.0,5,87.0,0.0,24,5,1256.8166666666666,0,1,0
358,1.0,4,191.0,1.0,68,13,3970.800000000001,0,1,1
359,2.0,3,572.0,0.0,170,5,0.0,0,0,0
360,2.0,11,116.0,11.0,147,5,2.6166666666666667,1,1,0
361,1.0,3,122.0,0.0,132,16,12.766666666666667,0,1,1
363,4.0,5,84.0,6.0,221,7,994.8666666666667,0,1,0
364,2.0,2,253.0,1.0,206,7,3211.0333333333333,0,1,1
365,2.0,3,171.0,0.0,160,11,671.45,0,0,0
366,3.0,29,290.0,84.0,208,6,7.6,1,0,1
367,2.0,2,179.0,14.0,201,5,92.25,0,0,1
368,2.0,23,0.0,5.0,9,5,29.816666666666666,1,0,1
369,2.0,2,88.0,0.0,15,5,5925.966666666666,0,1,1
370,5.0,31,0.0,4.0,36,1,969.9166666666664,1,0,1
371,5.0,2,0.0,1.0,41,4,674.7166666666667,0,0,1
372,2.0,3,90.0,0.0,55,7,210.5833333333333,0,0,1
373,2.0,2,112.0,4.0,48,3,4.383333333333334,0,1,0
374,2.0,3,87.0,17.0,43,3,77.21666666666667,1,1,0
375,2.0,11,85.0,5.0,6,1,12.616666666666667,1,1,0
376,1.0,21,154.0,34.0,4,4,143.58333333333334,1,0,1
377,5.0,13,358.0,19.0,110,4,855.9833333333332,1,0,0
378,1.0,3,345.0,1.0,16,3,472.86666666666673,1,1,0
379,2.0,5,337.0,0.0,203,3,36.516666666666666,0,1,0
380,2.0,2,212.0,2.0,137,4,2.433333333333333,0,1,0
384,2.0,7,792.0,2.0,18,8,142.11666666666667,1,1,1
385,3.0,2,121.0,1.0,24,5,474.9,0,1,1
386,3.0,3,268.0,7.0,89,2,483.25,0,1,0
387,2.0,3,444.0,1.0,69,7,455.13333333333327,1,1,0
388,2.0,2,122.0,0.0,18,17,1.9833333333333336,0,0,0
389,2.0,3,273.0,0.0,11,28,1.4,0,1,0
391,2.0,3,34.0,0.0,27,5,78.15,0,0,0
392,1.0,38,94.0,0.0,76,10,414.98333333333335,0,0,1
394,7.0,3,188.0,17.0,209,8,48.76666666666666,0,1,0
395,4.0,12,170.0,0.0,28,5,80.1,0,1,0
396,8.0,5,303.0,0.0,24,5,344.76666666666665,0,1,0
397,2.0,5,41.0,3.0,4,7,18.066666666666666,1,1,1
398,2.0,7,170.0,0.0,15,2,0.4666666666666667,0,1,1
401,2.0,2,79.0,3.0,33,8,6683.016666666666,0,1,0
403,4.0,3,99.0,0.0,198,2,1040.3333333333335,0,1,1
404,2.0,4,16.0,1.0,2,3,7.883333333333335,0,0,0
406,2.0,2,408.0,0.0,65,9,169.05,0,1,1
407,2.0,9,245.0,4.0,74,4,1117.2166666666667,1,1,0
408,6.0,3,267.0,0.0,154,2,18.466666666666665,0,1,1
410,2.0,3,274.0,0.0,104,9,254.2,0,1,0
413,2.0,2,175.0,0.0,40,5,2508.733333333333,0,1,1
414,4.0,3,41.0,1.0,25,3,389.35,0,1,0
415,10.0,3,388.0,34.0,63,2,369.1,0,0,0
416,3.0,3,130.0,0.0,10,1,0.0,0,1,1
418,2.0,5,249.0,0.0,96,4,205.36666666666667,0,0,1
420,3.0,6,407.0,0.0,114,14,265.35,0,1,0
422,1.0,7,237.0,6.0,48,11,37.266666666666666,1,1,0
424,4.0,9,270.0,2.0,13,5,66.03333333333335,1,1,0
425,2.0,3,76.0,49.0,2,3,7.55,1,1,0
427,6.0,2,67.0,0.0,0,8,245.43333333333337,0,1,0
429,2.0,6,67.0,1.0,65,10,115.65,1,1,0
431,2.0,17,960.0,72.0,29,3,699.7,1,0,0
432,3.0,3,189.0,0.0,186,4,986.55,0,1,0
434,1.0,6,219.0,1.0,144,13,4526.15,0,1,0
435,2.0,3,633.0,19.0,25,4,316.4,0,0,1
436,3.0,7,149.0,12.0,20,8,14.183333333333335,0,0,0
437,3.0,4,443.0,6.0,54,34,62.53333333333334,1,1,1
438,1.0,2,119.0,1.0,60,4,96.75,0,1,0
440,1.0,20,54.0,51.0,4,1,12.966666666666667,1,1,1
441,6.0,3,104.0,1.0,86,6,105.88333333333334,0,1,1
442,6.0,8,0.0,0.0,154,13,182.3333333333333,0,0,0
443,1.0,3,264.0,10.0,17,6,220.46666666666667,1,1,1
444,1.0,6,39.0,0.0,193,5,96.53333333333332,1,1,0
445,3.0,3,68.0,0.0,28,5,2653.483333333333,1,1,1
446,2.0,5,140.0,15.0,165,4,10.233333333333333,1,1,0
447,2.0,2,219.0,0.0,137,7,1457.15,0,1,0
450,5.0,15,403.0,2.0,29,3,293.1333333333333,1,0,1
451,2.0,17,361.0,0.0,93,11,33.56666666666667,0,1,0
452,1.0,5,16.0,0.0,178,62,661.6333333333333,0,1,0
453,4.0,5,581.0,0.0,252,3,1071.1333333333334,0,1,0
454,2.0,9,0.0,36.0,170,4,439.58333333333326,1,0,0
455,1.0,3,0.0,5.0,12,30,76.91666666666667,1,0,1
456,4.0,7,796.0,1.0,208,16,212.66666666666663,0,1,0
457,3.0,46,120.0,5.0,0,4,180.4333333333333,1,1,0
458,4.0,4,87.0,0.0,76,18,927.6,0,1,0
459,4.0,2,60.0,7.0,212,2,14140.116666666667,0,1,0
462,6.0,3,136.0,4.0,204,8,3.0166666666666666,1,1,1
463,4.0,4,122.0,1.0,30,5,504.11666666666673,0,1,0
465,1.0,2,71.0,14.0,21,5,802.4333333333333,0,1,0
467,4.0,3,391.0,40.0,57,6,86.38333333333334,1,1,0
468,1.0,8,162.0,74.0,28,46,15.183333333333335,0,1,1
469,3.0,4,78.0,0.0,150,16,19.133333333333333,0,1,1
470,3.0,4,146.0,0.0,209,5,134.3,0,0,0
472,1.0,5,248.0,2.0,13,5,34.4,1,1,0
476,2.0,3,87.0,0.0,23,8,282.78333333333336,0,1,0
477,8.0,2,219.0,0.0,153,4,2143.100000000001,0,0,1
478,6.0,40,170.0,4.0,144,8,383.23333333333335,1,0,1
479,2.0,18,226.0,0.0,75,9,619.4333333333333,1,0,1
480,2.0,8,108.0,2.0,91,7,107.86666666666666,1,1,1
481,1.0,4,163.0,1.0,14,4,8.783333333333333,0,1,0
